k,description_short,cluster_kmeans,cluster_agg,log_world_import,median_world_demand_growth,median_global_demand_log,log_n_markets,mean_market_penetration,opportunity_rate,world_import_slope
020442,"Meat: of sheep (including lamb), cuts with bone in (excludin",0,0,22.203444909437167,0.12971121290635435,14.67675749384907,5.429345628954441,0.0,0.2026431718061674,0.052205909634062915
020443,"Meat: of sheep (including lamb), boneless cuts, frozen",0,0,21.190086191227394,0.002741224977661494,13.645377366227088,5.429345628954441,0.0,0.2026431718061674,0.03326674780430044
020450,"Meat: of goats, fresh, chilled or frozen",0,0,20.34479109959973,0.02555430612027676,12.824763243481847,5.429345628954441,0.0,0.2026431718061674,0.01557210320607716
020500,"Meat: of horses, asses, mules or hinnies, fresh, chilled or ",0,0,20.523109648620316,-0.03622402676332648,13.006343832075018,5.429345628954441,0.0,0.2026431718061674,-0.010921621887626212
020610,"Offal, edible: of bovine animals, fresh or chilled",0,0,21.20557044997708,0.06013083629414884,13.718444702658335,5.429345628954441,0.0,0.2026431718061674,0.06708807702212975
020621,"Offal, edible: of bovine animals, tongues, frozen",0,0,20.322746381936156,0.0335086524349959,12.837357199235534,5.429345628954441,0.0,0.2026431718061674,0.012193592822482578
020622,"Offal, edible: of bovine animals, livers, frozen",0,0,20.150101149719262,-0.03105422345206621,12.58373302549281,5.429345628954441,0.0,0.2026431718061674,-0.015524902332345127
020629,"Offal, edible: of bovine animals, (other than tongues and li",0,0,22.048408015112084,0.0908358832461692,14.565815643099139,5.429345628954441,2.0372228932783855e-06,0.2026431718061674,0.06545239101944252
020630,"Offal, edible: of swine, fresh or chilled",0,0,20.391722289967586,0.0035633431939051663,12.923341081013902,5.429345628954441,0.0,0.2026431718061674,0.002109377456193942
020641,"Offal, edible: of swine, livers, frozen",0,0,18.55641029911018,-0.06121877264389458,11.01560946809958,5.429345628954441,0.0,0.2026431718061674,-0.039139239053338576
020649,"Offal, edible: of swine, (other than livers), frozen",0,0,22.627297861959725,-0.004516912895284331,15.08285542608639,5.429345628954441,2.3242023462058662e-06,0.20209251101321585,0.028072229069840728
020680,"Offal, edible: of sheep, goats, horses, asses, mules or hinn",0,0,18.190037194243512,-0.04053497606864137,10.669288697554435,5.429345628954441,0.0,0.2026431718061674,-0.019236679814233413
020690,"Offal, edible: of sheep, goats, horses, asses, mules or hinn",0,0,19.72578909417326,-0.0007787177782004329,12.19584228815516,5.429345628954441,0.0,0.2026431718061674,-0.007393176526773563
020711,Meat and edible offal: of fowls of the species Gallus domest,0,0,21.31942981365845,0.009266474520703727,13.816518278886374,5.429345628954441,0.0,0.2026431718061674,0.018782289766625087
020712,Meat and edible offal: of fowls of the species Gallus domest,0,0,22.658810406154533,-0.05872927300869041,15.113309695776309,5.429345628954441,6.690730928366961e-08,0.20209251101321585,-0.07315950168800958
020713,Meat and edible offal: of fowls of the species Gallus domest,2,0,22.834715877345687,0.02651018984819653,15.310937151350263,5.429345628954441,0.00022940708833774128,0.20154185022026433,0.029381122501351737
020714,Meat and edible offal: of fowls of the species Gallus domest,0,0,23.878003584083032,0.019605770382452592,16.36913081614758,5.429345628954441,1.2952500858226164e-05,0.1960352422907489,0.014950448123415252
020724,"Meat and edible offal: of turkeys, not cut in pieces, fresh ",0,0,18.90736980618154,-0.023155407857426424,11.432906919624902,5.429345628954441,0.0,0.2026431718061674,-0.03160651455668243
020725,"Meat and edible offal: of turkeys, not cut in pieces, frozen",0,0,19.122748920197598,-0.019788947218424613,11.607898848156012,5.429345628954441,0.0,0.2026431718061674,-0.0529232448259742
020726,"Meat and edible offal: of turkeys, cuts and offal, fresh or ",0,0,21.63238596584982,0.025652574399807282,14.112156274903434,5.429345628954441,0.0,0.2026431718061674,-0.0019246851139710205
020727,"Meat and edible offal: of turkeys, cuts and offal, frozen",0,0,21.42230918179566,-0.007454445197326354,13.927968248618383,5.429345628954441,4.022237551258697e-06,0.20154185022026433,-0.04211264739951934
020741,"Meat and edible offal: of ducks, not cut in pieces, fresh or",0,0,18.997799507279183,0.02303892303708288,11.485930344300861,5.429345628954441,0.0,0.2026431718061674,0.020943515863971262
020742,"Meat and edible offal: of ducks, not cut in pieces, frozen",0,0,19.687641986800195,-0.005572508416041677,12.136395972534963,5.429345628954441,0.0,0.2026431718061674,-0.02057653810692962
020743,"Meat and edible offal: of ducks, fatty livers (foie gras), f",0,0,18.3987528914783,-0.001385054704113653,10.948469967708727,5.429345628954441,0.0,0.2026431718061674,-0.03875050951374697
020744,"Meat and edible offal: of ducks, cuts and offal, excluding f",0,0,19.518762519529954,0.006344634089880952,11.995210169818087,5.429345628954441,0.0,0.2026431718061674,-0.010826999485332712
020745,"Meat and edible offal: of ducks, cuts and offal, excluding f",0,0,20.537030474688745,0.0033988034538633416,12.995939549754972,5.429345628954441,0.0,0.2026431718061674,0.026596463517335456
020751,"Meat and edible offal: of geese, not cut in pieces, fresh or",0,0,18.061030308726778,0.03447430619936931,10.560654926134777,5.429345628954441,0.0,0.30231277533039647,0.036733828390246526
